31.4735614068, -83.5300318207
31.4734619081, -83.530242857
31.4733443822, -83.5304442528
31.4732094214, -83.5306288687
31.4730493273, -83.5307892367
31.4728527906, -83.530867915
31.4726440791, -83.5309055429
31.4724362925, -83.5309192043
31.4723264428, -83.530960441
31.4725355593, -83.5309524977
31.4727433278, -83.5309306283
31.4729466311, -83.5308791754
31.4731291397, -83.5307710771
31.4732751668, -83.5306014912
31.4734050376, -83.5304143179
31.4735125263, -83.5302097054
31.4735802462, -83.5301554427
31.4734736326, -83.5303659716
31.4733475324, -83.5305631379
31.4732059193, -83.5307421027
31.4730312187, -83.5309570051
31.4728303027, -83.5309515951
31.4726225695, -83.5309853559
31.4724132963, -83.5309966621
31.4723695278, -83.5308339632
31.4725778197, -83.5310272933
31.4727876878, -83.5309995879
31.4729924243, -83.53094407
31.4731695053, -83.5308322479
31.4733164255, -83.530663107
31.473449386, -83.5304747542
31.4735631844, -83.5302703115
31.4735751098, -83.5303239823
31.473456102, -83.5305273376
31.4733222963, -83.5307128265
31.4731678003, -83.5308819738
31.4729752025, -83.5309894847
31.4727703294, -83.5310427891
31.4725615256, -83.5310668401
31.4724684858, -83.5311108443
31.4726814477, -83.5310954286
31.4728904816, -83.5310551791
31.4730898051, -83.5309815219
31.4732602305, -83.5308414252
31.4734037138, -83.5306636683
31.4735331707, -83.5304700649
31.4735137692, -83.5305983395
31.4733773182, -83.5307853356
31.4732232034, -83.5309534409
31.4730358682, -83.5310684591
31.4728311427, -83.5311279757
31.4726176948, -83.5311588463
31.4726322817, -83.5311964888
31.4728397868, -83.5311651426
31.4730478619, -83.5311049797
31.473228543, -83.5309980952
31.4701733847, -83.5307493721
31.4734405176, -83.5308182894
31.4732874623, -83.5309921055
31.4731047281, -83.5311207165
31.472905951, -83.5311895478
31.4726992897, -83.5312283877
31.4727630943, -83.5312580959
31.4729693729, -83.5312112486
31.4731672258, -83.5311298705
31.4733408187, -83.530989228
31.4733447604, -83.5310361597
31.4731665573, -83.5311727847
31.4729665029, -83.5312514727
31.4729262634, -83.5313024758
31.4731287383, -83.5312336391
